COUNTY	STATE	# GUNS
BEDFORD	VA	2
BEE	TX	2
BERKELEY	WV	2
BIENVILLE	LA	2
BIG HORN	MT	2
BLANCO	TX	2
BONNER	ID	2
BOONE	AR	2
BOSQUE	TX	2
BOX BUTTE	NE	2
BREMER	IA	2
BROOKINGS	SD	2
BROOME	NY	2
BROWN	MN	2
BROWN	OH	2
BROWN	SD	2
BRYAN	OK	2
BULLOCH	GA	2
BUNCOMBE	NC	2
BURNETT	WI	2
BUTTE	CA	2
CAMDEN	GA	2
CAMDEN	MO	2
CAMPBELL	KY	2
CAMPBELL	WY	2
CANDLER	GA	2
CARROLL	IL	2
CASEY	KY	2
CHARLES	MD	2
CHEATHAM	TN	2
CHELAN	WA	2
CHESTER	SC	2
CLALLAM	WA	2
CLAY	AR	2
CLAY	FL	2
CLAYTON	IA	2
CLEARWATER	MN	2
CLINTON	KY	2
COLUMBIA	GA	2
COMANCHE	KS	2
COMANCHE	TX	2
COWLEY	KS	2
CRAWFORD	IN	2
CREEK	OK	2
CRENSHAW	AL	2
CROCKETT	TN	2
DALLAS	AR	2
DALLAS	MO	2
DARKE	OH	2
DAUPHIN	PA	2
DAWSON	NE	2
DECATUR	IA	2
DECATUR	TN	2
DELAWARE	IA	2
DESCHUTES	OR	2
DISTRICT OF COLUMBIA	DC	2
DOOLY	GA	2
DOOR	WI	2
EDDY	NM	2
EMPORIA CITY	VA	2
ERATH	TX	2
EVANGELINE	LA	2
FAIRFAX CITY	VA	2
FANNIN	TX	2
FAYETTE	AL	2
FLEMING	KY	2
FRANKLIN	MA	2
FRANKLIN	WA	2
GRAYSON	VA	2
GREENE	MS	2
GREENE	VA	2
GUAM	GU	2
GUERNSEY	OH	2
HARALSON	GA	2
HARFORD	MD	2
HARRIS	GA	2
HARRISON	TX	2
HART	KY	2
HAYWOOD	TN	2
HENDERSON	NC	2
HENDERSON	TX	2
HENRY	KY	2
HILLSDALE	MI	2
HOT SPRING	AR	2
HOUSTON	MN	2
HOUSTON	TN	2
HUMBOLDT	NV	2
IBERVILLE	LA	2
IMPERIAL	CA	2
INDIAN RIVER	FL	2
INDIANA	PA	2
JACKSON	IA	2
JACKSON	LA	2
JASPER	IA	2
JAY	IN	2
JO DAVIESS	IL	2
JUAB	UT	2
KANABEC	MN	2
KANDIYOHI	MN	2
KAUFMAN	TX	2
KENNEBEC	ME	2
KENT	DE	2
KERSHAW	SC	2
KETCHIKAN GATEWAY	AK	2
LAFAYETTE	MO	2
LAFOURCHE	LA	2
LAKE	MI	2
LAMAR	GA	2
LANE	OR	2
LASSEN	CA	2
LAWRENCE	AL	2
LAWRENCE	IL	2
LAWRENCE	TN	2
LEE	GA	2
LEE	KY	2
LEE	VA	2
LEHIGH	PA	2
LEWIS	KY	2
LINCOLN	GA	2
LINCOLN	KY	2
LINCOLN	WV	2
LITTLE RIVER	AR	2
LOS ALAMOS	NM	2
LYCOMING	PA	2
MACON	MO	2
MACON	NC	2
MADISON	OH	2
MALHEUR	OR	2
MANASSAS PARK CITY	VA	2
MARION	IA	2
MARSHALL	WV	2
MARTINSVILLE CITY	VA	2
MASON	IL	2
MASSAC	IL	2
MATANUSKA SUSITNA	AK	2
MEIGS	OH	2
MEIGS	TN	2
MERCER	ND	2
MERIWETHER	GA	2
MIDDLESEX	NJ	2
MONROE	FL	2
MONTAGUE	TX	2
MUSKINGUM	OH	2
NASH	NC	2
NAVARRO	TX	2
NEW MADRID	MO	2
NEWTON	MS	2
NEZ PERCE	ID	2
OKMULGEE	OK	2
ONONDAGA	NY	2
ORANGE	TX	2
OSAGE	KS	2
OSAGE	MO	2
OWSLEY	KY	2
PAGE	IA	2
PARKER	TX	2
PASQUOTANK	NC	2
PATRICK	VA	2
PAULDING	OH	2
PAYNE	OK	2
PENOBSCOT	ME	2
PERRY	TN	2
PIERCE	WI	2
PIKE	IL	2
PIKE	MO	2
PISCATAQUIS	ME	2
PLATTE	MO	2
PLYMOUTH	IA	2
POINTE COUPEE	LA	2
POLK	MN	2
POLK	MO	2
POLK	TX	2
POWESHIEK	IA	2
PRATT	KS	2
PROWERS	CO	2
PUTNAM	FL	2
PUTNAM	GA	2
PUTNAM	OH	2
RAVALLI	MT	2
ROANE	WV	2
ROANOKE	VA	2
ROCKBRIDGE	VA	2
ROCKCASTLE	KY	2
ROCKLAND	NY	2
RUSK	WI	2
SAINT CLAIR	AL	2
SAINT FRANCOIS	MO	2
SAINT MARYS	MD	2
SALINE	MO	2
SAN LUIS OBISPO	CA	2
SAN PATRICIO	TX	2
SAN SEBASTIAN	PR	2
SANTA CRUZ	AZ	2
SANTA ROSA	FL	2
SCOTT	TN	2
SHELBY	TX	2
SHIAWASSEE	MI	2
SMYTH	VA	2
SOMERSET	ME	2
SOMERSET	PA	2
SPENCER	IN	2
STEELE	MN	2
STEUBEN	NY	2
SUSSEX	DE	2
SUSSEX	VA	2
TAYLOR	WI	2
TEHAMA	CA	2
TERRELL	GA	2
TETON	WY	2
THOMAS	GA	2
TODD	MN	2
TOLLAND	CT	2
TREMPEALEAU	WI	2
TRIMBLE	KY	2
TUSCARAWAS	OH	2
TUSCOLA	MI	2
TWIGGS	GA	2
TWIN FALLS	ID	2
UNION	GA	2
UNION	KY	2
UNION	OR	2
UNION	SC	2
UPSON	GA	2
VALDEZ CORDOVA	AK	2
VAN BUREN	TN	2
VAN WERT	OH	2
VENANGO	PA	2
VERNON	MO	2
WABASH	IL	2
WALTON	GA	2
WARREN	IA	2
WASHINGTON	FL	2
WASHINGTON	UT	2
WAUPACA	WI	2
WAYNE	GA	2
WAYNE	IA	2
WAYNE	TN	2
WAYNE	WV	2
WEBSTER	IA	2
WEBSTER	LA	2
WELD	CO	2
WHATCOM	WA	2
WILKES	GA	2
WILSON	NC	2
WISE	TX	2
WISE	VA	2
WOODRUFF	AR	2
YOLO	CA	2
YORK	VA	2
ACCOMACK	VA	1
ADAIR	MO	1
ALBANY	NY	1
ALEXANDER	NC	1
ALGER	MI	1
ALLEGANY	MD	1
ALLEGANY	NY	1
ALPENA	MI	1
AMADOR	CA	1
AMELIA	VA	1
ANDERSON	TX	1
ANDROSCOGGIN	ME	1
APPANOOSE	IA	1
APPOMATTOX	VA	1
ASHLAND	WI	1
ASSUMPTION	LA	1
ATOKA	OK	1
AUTAUGA	AL	1
BAILEY	TX	1
BANNOCK	ID	1
BARNSTABLE	MA	1
BEDFORD	PA	1
BENT	CO	1
BENTON	IN	1
BENTON	MO	1
BENTON	OR	1
BERKSHIRE	MA	1
BETHEL	AK	1
BIG STONE	MN	1
BLADEN	NC	1
BLAINE	ID	1
BLAND	VA	1
BLOUNT	AL	1
BON HOMME	SD	1
BOONE	IA	1
BOTTINEAU	ND	1
BOWIE	AR	1
BRADFORD	FL	1
BREWSTER	TX	1
BRISTOL	MA	1
BROOKE	WV	1
BROWN	IL	1
BRYAN	GA	1
BUFFALO	WI	1
BURKE	NC	1
BURLEIGH	ND	1
BURNET	TX	1
BUTTE	SD	1
CACHE	UT	1
CALHOUN	AR	1
CALHOUN	FL	1
CALHOUN	GA	1
CALUMET	WI	1
CARBON	PA	1
CARLISLE	KY	1
CARROLL	KY	1
CARROLL	NH	1
CARROLL	VA	1
CASS	IA	1
CATAHOULA	LA	1
CATRON	NM	1
CAYUGA	NY	1
CECIL	MD	1
CENTRE	PA	1
CHAFFEE	CO	1
CHARLOTTE	VA	1
CHATHAM	NC	1
CHATTOOGA	GA	1
CHEBOYGAN	MI	1
CHENANGO	NY	1
CHEROKEE	SC	1
CHERRY	NE	1
CHESTERFIELD	SC	1
CHILTON	AL	1
CHIPPEWA	MI	1
CHIPPEWA	WI	1
CHISAGO	MN	1
CIALES	PR	1
CLARION	PA	1
CLARKE	IA	1
CLAY	AL	1
CLAY	IA	1
CLAY	TN	1
CLEBURNE	AL	1
CLIFTON FORGE CITY	VA	1
CLINTON	MI	1
CLINTON	MO	1
CLINTON	PA	1
COCHRAN	TX	1
CODINGTON	SD	1
COFFEE	GA	1
COLLETON	SC	1
COLQUITT	GA	1
COLUMBIA	FL	1
COLUMBIA	NY	1
COLUMBIA	PA	1
COMAL	TX	1
CONWAY	AR	1
COOS	OR	1
CORTLAND	NY	1
COSHOCTON	OH	1
CRAIG	OK	1
CRAWFORD	MI	1
CRAWFORD	MO	1
CRAWFORD	PA	1
CRISP	GA	1
CULPEPER	VA	1
CUMBERLAND	KY	1
CUMBERLAND	VA	1
CUSTER	OK	1
DADE	GA	1
DALLAS	IA	1
DANIELS	MT	1
DANVILLE CITY	VA	1
DAVIS	UT	1
DAVISON	SD	1
DAWSON	MT	1
DE SOTO	FL	1
DE WITT	TX	1
DEAF SMITH	TX	1
DEARBORN	IN	1
DEER LODGE	MT	1
DEKALB	TN	1
DELAWARE	OK	1
DELTA	CO	1
DELTA	TX	1
DENT	MO	1
DICKENSON	VA	1
DILLON	SC	1
DODGE	MN	1
DORCHESTER	SC	1
DOUGLAS	GA	1
DOUGLAS	KS	1
DOUGLAS	MN	1
DOUGLAS	MO	1
DOUGLAS	NV	1
DURHAM	NC	1
DUTCHESS	NY	1
EARLY	GA	1
EAST CARROLL	LA	1
EASTLAND	TX	1
ECTOR	TX	1
EDGECOMBE	NC	1
EDWARDS	IL	1
ELBERT	GA	1
ELK	PA	1
ELKO	NV	1
EMMET	MI	1
ESSEX	NJ	1
EVANS	GA	1
FARIBAULT	MN	1
FAUQUIER	VA	1
FAYETTE	TN	1
FENTRESS	TN	1
FERRY	WA	1
FILLMORE	MN	1
FLORENCE	WI	1
FORD	KS	1
FOREST	WI	1
FRANKLIN	VA	1
FREDERICK	MD	1
FREDERICK	VA	1
FREESTONE	TX	1
FREMONT	CO	1
FULTON	NY	1
GAGE	NE	1
GALLATIN	IL	1
GENEVA	AL	1
GEORGE	MS	1
GILCHRIST	FL	1
GLACIER	MT	1
GLADES	FL	1
GLENN	CA	1
GLOUCESTER	NJ	1
GLOUCESTER	VA	1
GOODHUE	MN	1
GOODING	ID	1
GRAHAM	AZ	1
GRANT	NM	1
GRATIOT	MI	1
GRAYS HARBOR	WA	1
GREELEY	NE	1
GREEN LAKE	WI	1
GREENE	GA	1
GREENE	IA	1
GREENE	NC	1
GREENE	PA	1
GREENUP	KY	1
GRUNDY	TN	1
GUADALUPE	TX	1
GULF	FL	1
GUNNISON	CO	1
HALE	AL	1
HALE	TX	1
HAMPSHIRE	MA	1
HANCOCK	ME	1
HARDIN	TX	1
HARRISON	MO	1
HAWKINS	TN	1
HENDRY	FL	1
HICKORY	MO	1
HILL	MT	1
HOKE	NC	1
HOLMES	FL	1
HOLMES	OH	1
HOLT	NE	1
HOOD RIVER	OR	1
HOPKINS	TX	1
HOUGHTON	MI	1
HOWARD	MO	1
HUERFANO	CO	1
HUMACAO	PR	1
IBERIA	LA	1
IDA	IA	1
IDAHO	ID	1
IOSCO	MI	1
IRON	MO	1
ISABELA	PR	1
ISABELLA	MI	1
ISLAND	WA	1
ITASCA	MN	1
JACKSON	CO	1
JASPER	IL	1
JASPER	MO	1
JASPER	SC	1
JASPER	TX	1
JEFF DAVIS	GA	1
JEFFERSON DAVIS	LA	1
JEFFERSON	IA	1
JEFFERSON	KS	1
JIM WELLS	TX	1
JOHNSTON	NC	1
JOSEPHINE	OR	1
JUNEAU	AK	1
JUNIATA	PA	1
KAY	OK	1
KEARNY	KS	1
KENAI PENINSULA	AK	1
KINGS	NY	1
KLAMATH	OR	1
KLEBERG	TX	1
KNOX	OH	1
KODIAK ISLAND	AK	1
KOOCHICHING	MN	1
KOOTENAI	ID	1
LA PLATA	CO	1
LABETTE	KS	1
LACKAWANNA	PA	1
LACLEDE	MO	1
LAFAYETTE	WI	1
LAKE	TN	1
LAMAR	TX	1
LAPEER	MI	1
LAURENS	GA	1
LAURENS	SC	1
LAWRENCE	MO	1
LAWRENCE	SD	1
LE FLORE	OK	1
LE SUEUR	MN	1
LEE	NC	1
LENAWEE	MI	1
LEVY	FL	1
LEWIS AND CLARK	MT	1
LEWIS	MO	1
LEWIS	TN	1
LINCOLN	AR	1
LINCOLN	NM	1
LINCOLN	OK	1
LINCOLN	TN	1
LINN	OR	1
LITCHFIELD	CT	1
LONG	GA	1
LOUDOUN	VA	1
LUCAS	IA	1
LUCE	MI	1
LUNA	NM	1
LYON	KS	1
MACKINAC	MI	1
MADISON	MT	1
MARION	SC	1
MARSHALL	KS	1
MARSHALL	TN	1
MARTIN	IN	1
MARTIN	MN	1
MASON	KY	1
MASON	MI	1
MASON	WV	1
MATAGORDA	TX	1
MAVERICK	TX	1
MCKINLEY	NM	1
MCLEAN	ND	1
MECKLENBURG	VA	1
MEDINA	TX	1
MEEKER	MN	1
MENARD	IL	1
MENDOCINO	CA	1
MENIFEE	KY	1
MERCED	CA	1
MERCER	IL	1
MERCER	NJ	1
MIAMI	KS	1
MIDDLESEX	CT	1
MIDLAND	TX	1
MILLER	MO	1
MILLS	IA	1
MISSAUKEE	MI	1
MISSISSIPPI	MO	1
MITCHELL	NC	1
MOFFAT	CO	1
MONROE	AL	1
MONROE	IL	1
MONTGOMERY	IA	1
MONTGOMERY	MO	1
MONTGOMERY	NC	1
MORGAN	CO	1
MORGAN	GA	1
MORGAN	OH	1
MORGAN	UT	1
MORRIS	NJ	1
MORRISON	MN	1
MUSCATINE	IA	1
NASSAU	FL	1
NATCHITOCHES	LA	1
NEVADA	AR	1
NEWBERRY	SC	1
NEWPORT	RI	1
NOBLE	OH	1
NOLAN	TX	1
NORTHUMBERLAND	PA	1
NORTHUMBERLAND	VA	1
NYE	NV	1
OBRIEN	IA	1
OCEAN	NJ	1
OCONEE	SC	1
OGEMAW	MI	1
OKANOGAN	WA	1
OKEECHOBEE	FL	1
ONEIDA	NY	1
ONTARIO	NY	1
OSAGE	OK	1
OSCEOLA	IA	1
OSCEOLA	MI	1
OTSEGO	MI	1
OTSEGO	NY	1
OTTAWA	OK	1
OVERTON	TN	1
OWEN	IN	1
OWEN	KY	1
OXFORD	ME	1
PAGE	VA	1
PALO ALTO	IA	1
PALO PINTO	TX	1
PAMLICO	NC	1
PANOLA	TX	1
PARK	CO	1
PARK	MT	1
PARK	WY	1
PASSAIC	NJ	1
PAYETTE	ID	1
PEND OREILLE	WA	1
PENDLETON	WV	1
PENNINGTON	MN	1
PERRY	OH	1
PETERSBURG CITY	VA	1
PICKETT	TN	1
PIERCE	ND	1
PIKE	AL	1
PLAQUEMINES	LA	1
PLATTE	NE	1
PLEASANTS	WV	1
POCAHONTAS	IA	1
POLK	WI	1
POPE	IL	1
POPE	MN	1
PORTSMOUTH CITY	VA	1
POSEY	IN	1
POWELL	KY	1
PRINCE EDWARD	VA	1
PULASKI	GA	1
PULASKI	VA	1
QUAY	NM	1
RABUN	GA	1
RALLS	MO	1
RANDALL	TX	1
RAY	MO	1
RED RIVER	TX	1
REDWOOD	MN	1
RENSSELAER	NY	1
RICHARDSON	NE	1
RICHMOND	NC	1
RICHMOND	NY	1
RIO ARRIBA	NM	1
RIPLEY	IN	1
RITCHIE	WV	1
ROCK	MN	1
ROCKINGHAM	VA	1
ROCKWALL	TX	1
RUSH	IN	1
RUSSELL	VA	1
SABINE	LA	1
SABINE	TX	1
SAINT LUCIE	FL	1
SALEM	NJ	1
SALEM	VA	1
SAMPSON	NC	1
SAN JACINTO	TX	1
SANTA CRUZ	CA	1
SCHOOLCRAFT	MI	1
SCHUYLER	IL	1
SCOTT	VA	1
SEMINOLE	OK	1
SEQUOYAH	OK	1
SHENANDOAH	VA	1
SHERMAN	TX	1
SIOUX	NE	1
SMITH	TN	1
SNYDER	PA	1
SOMERSET	NJ	1
SPINK	SD	1
STANLEY	SD	1
STANLY	NC	1
STARR	TX	1
STEPHENS	GA	1
STEVENS	WA	1
STEWART	TN	1
STONE	AR	1
STONE	MO	1
SUBLETTE	WY	1
SUFFOLK	MA	1
SULLIVAN	NH	1
SULLIVAN	NY	1
SUMMIT	CO	1
SUMNER	KS	1
SUMTER	FL	1
SUMTER	GA	1
SURRY	NC	1
SWAIN	NC	1
SWEETWATER	WY	1
SWISHER	TX	1
TALBOT	MD	1
TAOS	NM	1
TATTNALL	GA	1
TAYLOR	FL	1
TELFAIR	GA	1
TEXAS	OK	1
THAYER	NE	1
TIOGA	NY	1
TITUS	TX	1
TODD	KY	1
TOMPKINS	NY	1
TURNER	GA	1
ULSTER	NY	1
UNICOI	TN	1
UNION	IN	1
UNION	NJ	1
UNION	SD	1
UPSHUR	TX	1
VAL VERDE	TX	1
VALLEY	MT	1
VAN BUREN	IA	1
VANCE	NC	1
VERMILION	LA	1
WAGONER	OK	1
WAKULLA	FL	1
WARREN	PA	1
WASHINGTON	ID	1
WASHINGTON	IL	1
WASHINGTON	ME	1
WASHINGTON	MO	1
WASHINGTON	OH	1
WASHINGTON	OR	1
WASHINGTON	RI	1
WASHINGTON	VT	1
WAYNE	MO	1
WAYNE	PA	1
WAYNESBORO CITY	VA	1
WEBSTER	WV	1
WEST CARROLL	LA	1
WESTMORELAND	VA	1
WESTON	WY	1
WEXFORD	MI	1
WHITE PINE	NV	1
WHITE	IL	1
WICOMICO	MD	1
WILLIAMSON	TX	1
WINKLER	TX	1
WOODS	OK	1
WOODWARD	OK	1
WORCESTER	MD	1
WRIGHT	MN	1
WRIGHT	MO	1
WYTHE	VA	1
YELL	AR	1
YORK	ME	1
YORK	NE	1
YOUNG	TX	1
YUMA	CO	1
